Year,Department,Section,Subject ID,Faculty ID,Type
III,CSM,A,SBQ31,FBQ26,Lab
III,CSM,A,SBQ32,FBQ29,Lab
III,CSM,A,SBQ33,FBQ28,Lab
III,CSM,B,SBQ31,FBQ26,Lab
III,CSM,B,SBQ32,FBQ29,Lab
III,CSM,B,SBQ33,FBQ28,Lab
III,CSM,C,SBQ31,FBQ26,Lab
III,CSM,C,SBQ32,FBQ37,Lab
III,CSM,C,SBQ33,FBQ36,Lab
II,CSM,A,SBQ48,FBQ50,Lab
II,CSM,A,SBQ49,FBQ38,Lab
II,CSM,A,SBQ50,FBQ49,Lab
II,CSM,B,SBQ48,FBQ50,Lab
II,CSM,B,SBQ49,FBQ38,Lab
II,CSM,B,SBQ50,FBQ49,Lab
II,CSM,C,SBQ48,FBQ57,Lab
II,CSM,C,SBQ49,FBQ40,Lab
II,CSM,C,SBQ50,FBQ30,Lab
