Year,Department,Section,Subject ID,Faculty ID,Type
III,CSM,A,SBQ25,FBQ25,Lecture
III,CSM,A,SBQ26,FBQ26,Lecture
III,CSM,A,SBQ27,FBQ27,Lecture
III,CSM,A,SBQ28,FBQ29,Lecture
III,CSM,A,SBQ29,FBQ30,Lecture
III,CSM,B,SBQ25,FBQ25,Lecture
III,CSM,B,SBQ26,FBQ26,Lecture
III,CSM,B,SBQ27,FBQ27,Lecture
III,CSM,B,SBQ28,FBQ29,Lecture
III,CSM,B,SBQ29,FBQ30,Lecture
III,CSM,C,SBQ25,FBQ34,Lecture
III,CSM,C,SBQ26,FBQ26,Lecture
III,CSM,C,SBQ27,FBQ27,Lecture
III,CSM,C,SBQ28,FBQ37,Lecture
III,CSM,C,SBQ29,FBQ35,Lecture
IV,CSM,A,SBQ36,FBQ39,Lecture
IV,CSM,A,SBQ37,FBQ40,Lecture
IV,CSM,A,SBQ38,FBQ41,Lecture
IV,CSM,A,SBQ39,FBQ42,Lecture
IV,CSM,A,SBQ40,FBQ43,Lecture
IV,CSM,A,SBQ41,FBQ44,Lecture
IV,CSM,B,SBQ36,FBQ39,Lecture
IV,CSM,B,SBQ37,FBQ40,Lecture
IV,CSM,B,SBQ38,FBQ41,Lecture
IV,CSM,B,SBQ39,FBQ42,Lecture
IV,CSM,B,SBQ40,FBQ43,Lecture
IV,CSM,B,SBQ41,FBQ44,Lecture
IV,CSM,C,SBQ36,FBQ39,Lecture
IV,CSM,C,SBQ37,FBQ45,Lecture
IV,CSM,C,SBQ38,FBQ41,Lecture
IV,CSM,C,SBQ39,FBQ42,Lecture
IV,CSM,C,SBQ40,FBQ43,Lecture
IV,CSM,C,SBQ41,FBQ46,Lecture
II,CSM,A,SBQ43,FBQ47,Lecture
II,CSM,A,SBQ44,FBQ48,Lecture
II,CSM,A,SBQ45,FBQ29,Lecture
II,CSM,A,SBQ46,FBQ49,Lecture
II,CSM,A,SBQ47,FBQ38,Lecture
II,CSM,B,SBQ43,FBQ47,Lecture
II,CSM,B,SBQ44,FBQ48,Lecture
II,CSM,B,SBQ45,FBQ29,Lecture
II,CSM,B,SBQ46,FBQ49,Lecture
II,CSM,B,SBQ47,FBQ38,Lecture
II,CSM,C,SBQ43,FBQ47,Lecture
II,CSM,C,SBQ44,FBQ58,Lecture
II,CSM,C,SBQ45,FBQ50,Lecture
II,CSM,C,SBQ46,FBQ30,Lecture
II,CSM,C,SBQ47,FBQ56,Lecture
